# Start logging at 2021-01-11 21:32:40 E. South America Standard Time
[21:32:40] disconnected
[22:28:43]  bmw_barata: a do ow é boa
[22:28:43]  harnnick: Versão Brasileira Alamo
[22:28:46]  tron_black: kkkkkkkkkk
[22:29:10]  biribiribinha: Boa noite so7
[22:29:12]  jhonnick: muito boa em?
[22:29:15]  biribiribinha: SeemsGood
[22:29:20]  brunogs3: clan eles vão jogar hoje também ?
[22:29:25]  hannibalfront: Jogar ranqueada até o Colono chegar?
[22:29:26]  danxi_realoficial: americano do rj
[22:29:29]  tron_black: @BruninhoSO7 A do RE4 tbm e mais ou menos
[22:29:33]  jaoj_: mas é muito boa memo
[22:29:38]  toninhosarrafo: boa noite so7
[22:29:39]  nome_aleatorio_png: qualquer campanha de cod tem uma dublagem horrível
[22:29:50]  mateuzin__: oi so7 hayaAmor
[22:29:52]  jaoj_: eu não falei q portugues era melhor que ingles
[22:29:56]  iagosbroglio: kkkkk
[22:30:02]  jhonnick: ah mano, áudio original é sempre melhor né
[22:30:04]  bmw_barata: eu acostumei com o dublado ñ consigo mais jogar no original
[22:30:05]  robertoducca: ele nao dormiu
[22:30:06]  fernandosini: F colono
[22:30:09]  jefff: Cheer1 quem fala, õr! õr! õr!
[22:30:09]  biribiribinha: so7tou no horario
[22:30:12]  danxi_realoficial: jkkkkķ
[22:30:12]  robertoducca: hj
[22:30:13]  besapecudinho: boa noite so7
[22:30:19]  hannibalfront: brunin10Soubenao brunin10Soubenao
[22:30:20]  turmadamao: ja era
[22:30:21]  picles77: dublagem BR é só pra.desenho e filme de comédia
[22:30:23]  boniiatti22: dormiu
[22:30:26]  vert1999: entrou agr ele!!
[22:30:28]  boniiatti22: ctz
[22:30:30]  tron_black: aham
[22:30:31]  badwolfinho: Cheer10 Boa noite Soussete
[22:30:32]  hexa_in_2022: LUL LUL
[22:30:32]  turmadamao: o velho dormiu
[22:30:43]  lobofrenetico: Colono deve estar dormindo ainda, ele foi dormir só hoje a tarde
[22:30:50]  bmw_barata: qto tempo vc ñ marca nada tbm?
[22:30:51]  iagosbroglio: kkkkk
[22:31:03]  tron_black: Aham
[22:31:04]  robertoducca: kkk bem isso
[22:31:07]  gustavobonacin: sim sim
[22:31:09]  badwolfinho: ai exagero
[22:31:13]  picles77: tá chegando pro pw até hoje
[22:31:14]  iagosbroglio: kkkkkk
[22:31:19]  hannibalfront: Verdade, nunca mais atrasou no GTA
[22:31:24]  badwolfinho: Forçou a barra ja
[22:31:24]  robertoducca: mentira
[22:31:26]  urickson: Abriule live
[22:31:29]  iagosbroglio: melhorou um pouco
[22:31:29]  turmadamao: abriu
[22:31:34]  gabrielfew: so7 o pw foi ontem, ta um pouquinho atrasado hayaKEK hayaKEK
[22:31:35]  jaoj_: kkkkkkkkkkkkkk
[22:31:37]  iagosbroglio: kkkkkk
[22:31:41]  turmadamao: o velho abriu
[22:31:50]  jhonnick: quero nem ouvir ahsushis
[22:31:59]  abraaum_pc: S07 ja viu o 2020 em 1 musica do inultilismo?
[22:31:59]  jhonnick: deixa eu sair da Live rapidaum
[22:31:59]  tron_black: MDS
[22:31:59]  jeor22: kkkkkkkkkkkkkkkkkkk
[22:31:59]  jaoj_: eu não ia tankar esse audio nem fudendo
[22:32:01]  phfut3: meee kkkk
[22:32:01]  badwolfinho: KKKKKKK voz de 2010
[22:32:02]  iagosbroglio: dpp
[22:32:02]  eugenius22: kkkkkkkk
[22:32:05]  urickson: Ô COPOM
[22:32:05]  frexnet: KKKKKKKKKKKKKKKK
[22:32:06]  rednitro7: so7 locutor de rádio
[22:32:07]  felixfillipe: fala HUMM AKIMBOS
[22:32:08]  iagosbroglio: voz dpp
[22:32:08]  eugenius22: dpp sdds :(
[22:32:09]  gigio_____: carlho so7 gameplays
[22:32:09]  hannibalfront: Faz a intro com esse mic pela nostalgia
[22:32:09]  ronico22: pique so7 2011
[22:32:11]  gailahad: PX21 sdds
[22:32:12]  gabrielfew: so7 2010
[22:32:14]  vert1999: Copom hahaha
[22:32:15]  opdxsn: De volta a 2011
[22:32:17]  brunoxdonato: so7 2k13
[22:32:21]  jhonnick: o pior é que dá uma vibe nostálgica do carai kkkkkkk
[22:32:24]  bruno13valerio: igual do canal do yt
[22:32:24]  nome_aleatorio_png: 2010 de volta
[22:32:26]  gigio_____: pique luan gameplays
[22:32:26]  bmw_barata: mic de piloto de avião
[22:32:27]  tedthegr8: Cheer1 faz a intro com esse Mic sô7
[22:32:27]  turmadamao: kkkkk voz de celular
[22:32:27]  eugenius22: só falta falar: "pourram japoneixxxxx"
[22:32:28]  badwolfinho: De volta aos meados de 2011
[22:32:29]  fernandomallet: kkkkkkkkkkkkkkkkkkkk
[22:32:30]  picles77: falando direto de uma fossa
[22:32:31]  abraaum_pc: S07 ja viu o 2020 em 1 musica do inultilismo?
[22:32:35]  iagosbroglio: ia ser vibe dpp
[22:32:41]  vert1999: soseti puliça
[22:32:49]  hierx: !uptime
[22:32:51]  bruninhoso7: Start Time: January 11, 2021 - 10:04 PM, Stream Length: 0:27
[22:32:51]  iagosbroglio: olha tá chovendo granizo so7
[22:32:52]  urickson: Vai se fuser
[22:33:05]  besapecudinho: parece um piloto de aviao kkkkkkkkk
[22:33:06]  iagosbroglio: tá caindo granizo kkkkk
[22:33:25]  jhonnick: te pago vintão se fizer a intro com o mic hahahah
[22:33:27]  iagosbroglio: aqui começou agora
[22:33:30]  rednitro7: tu tem que usar esse mic na live de aniversário do canal
[22:33:31]  bmw_barata: q astro q é?
[22:33:39]  zleeonardo: FALA GALEEEEEERA, BRUNINHO SO7 DE VOLTA, TUDO BELEZA ?????
[22:33:43]  poisonshot_: boa noite!
[22:33:45]  urickson: Astro? +1
[22:33:45]  tron_black: @BruninhoSO7 Tem que mudar o Sobre BruninhoSo7 tá escrito que faz transmissões de GTA que propagando enganosa
[22:33:51]  jaoj_: SO7 2012 desanimadão: Fala galera, bruninho SO7 de volta, no video de hj, trago pra vcs a estratégia solo da call of the dead. @BruninhoSO7 HEUAHEUAHEUAEHAUEH
[22:33:51]  iagosbroglio: kkkkk
[22:33:54]  jhonnick: kkkkkkk
[22:33:57]  badwolfinho: s
[22:33:58]  zleeonardo: kkkkkkk
[22:33:59]  badwolfinho: KKKKKKKKKK
[22:34:00]  joaovitor_23: kkkkkkkkkkkkkkk
[22:34:01]  tron_black: kkkkkk
[22:34:01]  pabloenriique: kkkkkkkkkkkkkkkkkkkkkkkkk
[22:34:02]  oandin: KKKKKKKKKKKK
[22:34:02]  akiira23: LUL
[22:34:02]  jeor22: kkkkkkkkkkkkkkkkkkkkkkkkkkkk
[22:34:03]  michael__scott: tem q ser a voz tristonha
[22:34:04]  phfut3: kkkkkkkkkkkk
[22:34:05]  gustavobonacin: KKKKKKKKKKKKK]
[22:34:05]  ricksonsz_: kkkkkkkkkkkkkkkkkkkkkkk
[22:34:06]  hierx: que delícia
[22:34:06]  tedthegr8: Cheer1 MEEEEEU DEUS
[22:34:06]  gailahad: jkkkkkkkkkkkkkkkkkkkkkkkkkkkk
[22:34:06]  brunoxdonato: KKKKKKKKKKKKKKKKKKK
[22:34:06]  lucas_1209: KEKW
[22:34:06]  ozura99: Vc fala palavrão bruninho?
[22:34:07]  fernandosini: auehuaheauheauheuahea
[22:34:07]  jhonnick: hahahahahahahhahaha
[22:34:07]  jaoj_: KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
[22:34:08]  gabrielfew: kkkkkkkkk
